iter	Logloss
0	0.6810888004
1	0.6694171066
2	0.6575670013
3	0.6465772991
4	0.6353098869
5	0.6251527443
6	0.615374464
7	0.6054121971
8	0.5957275372
9	0.5866229496
10	0.5772364349
11	0.5682407684
12	0.5599588394
13	0.5515653305
14	0.5439390984
15	0.5364564457
16	0.5287896118
17	0.5219189148
18	0.5150235538
19	0.5078273668
20	0.5015525227
21	0.4951577492
22	0.4890001049
23	0.482829587
24	0.4770964994
25	0.4715590277
26	0.4658406677
27	0.4603515978
28	0.4545489264
29	0.4493400002
30	0.4446013451
31	0.4399457026
32	0.4352772961
33	0.4305084114
34	0.4259158907
35	0.4216096115
36	0.4176552896
37	0.4134943295
38	0.4092108259
39	0.4055955563
40	0.401833086
41	0.397958312
42	0.3940908356
43	0.3902779512
44	0.3868108387
45	0.383437953
46	0.3801841812
47	0.3770874176
48	0.3739623137
49	0.3708066835
50	0.3678242979
51	0.3650037918
52	0.3624332285
53	0.3598083487
54	0.3571728582
55	0.3545490837
56	0.3519865379
57	0.3494454632
58	0.3469962568
59	0.3447665119
60	0.3422943573
61	0.3401847153
62	0.3380182333
63	0.3360717592
64	0.3340468769
65	0.3319971771
66	0.329996047
67	0.3280012465
68	0.326308507
69	0.32450383
70	0.3225899162
71	0.3207361784
72	0.3190725708
73	0.3173541365
74	0.3157091255
75	0.3142254105
76	0.3124984827
77	0.3110088081
78	0.3095246191
79	0.3079787607
80	0.3067027245
81	0.305373004
82	0.3039799757
83	0.3026199694
84	0.3013200321
85	0.3001885319
86	0.2989501686
87	0.2977843399
88	0.2966733236
89	0.2955014009
90	0.2944927483
91	0.2934147654
92	0.2923727942
93	0.2912771664
94	0.2902953062
95	0.2892917185
96	0.2883765917
97	0.2873517694
98	0.286438941
99	0.2854664297
100	0.2846326027
101	0.2838062677
102	0.2829907875
103	0.28209863
104	0.281209754
105	0.2803821983
106	0.2795810766
107	0.2788422432
108	0.2781191435
109	0.2774076653
110	0.2766661987
111	0.2759338102
112	0.2752211437
113	0.2745603766
114	0.2739386568
115	0.2732740564
116	0.2726408739
117	0.2720661435
118	0.2713960071
119	0.2707673788
120	0.2701238637
121	0.269464612
122	0.2687710538
123	0.2682310433
124	0.2676220646
125	0.2671033697
126	0.2665587201
127	0.266038414
128	0.2655103836
129	0.2650002337
130	0.2645199647
131	0.2640639944
132	0.2635908484
133	0.2631451449
134	0.2626061745
135	0.2621923046
136	0.2617568579
137	0.261358058
138	0.2608867269
139	0.2604918752
140	0.260047091
141	0.2596271677
142	0.2592069325
143	0.2588312974
144	0.2584379597
145	0.2579776301
146	0.2576164322
147	0.2571922355
148	0.2567826366
149	0.256409266
150	0.2559955564
151	0.2556378598
152	0.2552769876
153	0.2549598303
154	0.2545679197
155	0.2541482687
156	0.2537720804
157	0.253423213
158	0.2530424838
159	0.2526825767
160	0.2523769274
161	0.2520113297
162	0.2516437917
163	0.251297297
164	0.2510165672
165	0.2507329621
166	0.2504748201
167	0.2501533203
168	0.2498535094
169	0.2495548811
170	0.2491617861
171	0.2489166079
172	0.2486201949
173	0.2482956347
174	0.2480496168
175	0.2477621956
176	0.2474333782
177	0.2471512165
178	0.246945642
179	0.2466379366
180	0.2463516412
181	0.2461157393
182	0.2458190322
183	0.2455581059
184	0.2452595587
185	0.2449832869
186	0.244731216
187	0.2445337009
188	0.2442664032
189	0.2440246992
190	0.2437823758
191	0.2435106716
192	0.243341084
193	0.2431523542
194	0.2429982352
195	0.2428034878
196	0.2425775123
197	0.2423599591
198	0.2421978841
199	0.2419227328
200	0.2416726403
201	0.2414491324
202	0.2412998977
203	0.2410956192
204	0.2409031963
205	0.2406455541
206	0.2404167042
207	0.2402128477
208	0.2400614367
209	0.2398526616
210	0.2396715837
211	0.2393848333
212	0.239237082
213	0.2390458345
214	0.2388453259
215	0.2385923362
216	0.2384405346
217	0.2382566009
218	0.2380812583
219	0.2379442458
220	0.2377306256
221	0.2374737163
222	0.2372244053
223	0.2369399757
224	0.2367682519
225	0.2366294317
226	0.2364539361
227	0.2362950382
228	0.2360800872
229	0.2359382677
230	0.2357899098
231	0.2356037097
232	0.235374876
233	0.2352367144
234	0.2350524135
235	0.2349066539
236	0.2347232475
237	0.234561049
238	0.2343762355
239	0.2342289119
240	0.234036788
241	0.233872499
242	0.2336708837
243	0.2335741501
244	0.2333775282
245	0.2332528391
246	0.2330644197
247	0.2328999987
248	0.2326999245
249	0.2325418468
250	0.2323668056
251	0.2321698122
252	0.2320092773
253	0.2317815013
254	0.2316560779
255	0.2314334307
256	0.2312112327
257	0.2310910411
258	0.2309137988
259	0.2307220082
260	0.23055759
261	0.2303820238
262	0.2302240586
263	0.2300811234
264	0.2299318023
265	0.2297760601
266	0.2295720878
267	0.2293940511
268	0.2292125607
269	0.2289751062
270	0.2288237557
271	0.2287266684
272	0.2286352506
273	0.2284783659
274	0.2283608456
275	0.2282281914
276	0.2280748291
277	0.2279451933
278	0.2278695512
279	0.2277208962
280	0.2275754943
281	0.2273611302
282	0.2272167478
283	0.2271105418
284	0.2270154519
285	0.2269081759
286	0.2267812891
287	0.2266686416
288	0.2266597919
289	0.226483799
290	0.2262833624
291	0.2261915927
292	0.2260906825
293	0.2259971881
294	0.2258715606
295	0.2257053294
296	0.2255414891
297	0.225388247
298	0.2252718067
299	0.2251717191
300	0.2250160141
301	0.2249254422
302	0.2248585386
303	0.2246824632
304	0.2245453639
305	0.2244646106
306	0.2243163123
307	0.2242250075
308	0.2241359787
309	0.2239891887
310	0.2237706423
311	0.22368993
312	0.2236136117
313	0.2235256338
314	0.2234378033
315	0.2232719998
316	0.2230501161
317	0.2229081988
318	0.2227575765
319	0.2225590196
320	0.2224825273
321	0.2223499451
322	0.2222772856
323	0.2221505532
324	0.2219453793
325	0.2218655291
326	0.2217775965
327	0.2216602836
328	0.2215401177
329	0.2214613647
330	0.2213748507
331	0.2212203741
332	0.2211441031
333	0.2209588079
334	0.2208764768
335	0.2207578473
336	0.2206030655
337	0.220410996
338	0.2202533045
339	0.2200812473
340	0.2199820929
341	0.2198839636
342	0.2197897325
343	0.2196754279
344	0.219554678
345	0.2194474773
346	0.2192894464
347	0.2192230983
348	0.2191838923
349	0.2190997019
350	0.218943634
351	0.2188898435
352	0.2187642622
353	0.2186740308
354	0.2185164833
355	0.2184283662
356	0.218336978
357	0.2181744843
358	0.2180636015
359	0.2179503498
360	0.217822916
361	0.2177497644
362	0.2176863379
363	0.2175496297
364	0.2174754653
365	0.2174079394
366	0.2172556272
367	0.2171404004
368	0.2170113344
369	0.2168896737
370	0.2167293072
371	0.2166240191
372	0.2165383949
373	0.2164876361
374	0.2164229913
375	0.2163019443
376	0.2162103896
377	0.2161611886
378	0.2160319409
379	0.2159856501
380	0.2158871083
381	0.2158333287
382	0.2156407847
383	0.21553124
384	0.2154611535
385	0.2153729458
386	0.2151971378
387	0.215102735
388	0.2150898175
389	0.2150024333
390	0.2148299513
391	0.2147636976
